Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
17,California Institute of Technology (Caltech),Aaron Ames,Bren Professor of Mechanical and Civil Engineering and Control and Dynamical Systems,,,,,,,,
17,California Institute of Technology (Caltech),José E. Andrade,George W. Housner Professor of Civil and Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Domniki Asimaki,Professor of Mechanical and Civil Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Jean,Philippe Avouac,"Earle C. Anthony Professor of Geology and Mechanical and Civil Engineering; Associate Director, Center for Autonomous Systems and Technologies",,,,,,,
17,California Institute of Technology (Caltech),Kaushik Bhattacharya,"Howell N. Tyson, Sr., Professor of Mechanics and Materials Science; Vice Provost",,,,,,,,
17,California Institute of Technology (Caltech),Guillaume Blanquart,Professor of Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),John F. Brady,Chevron Professor of Chemical Engineering and Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Joel W. Burdick,Richard L. and Dorothy M. Hayman Professor of Mechanical Engineering and Bioengineering; Jet Propulsion Laboratory Research Scientist,,,,,,,,
17,California Institute of Technology (Caltech),Tim Colonius,"Frank and Ora Lee Marble Professor of Mechanical Engineering and Medical Engineering; Cecil and Sally Drinkward Leadership Chair, Department of Mechanical and Civil Engineering; Executive Officer for Mechanical and Civil Engineering",,,,,,,,
17,California Institute of Technology (Caltech),John O. Dabiri,Centennial Professor of Aeronautics and Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Chiara Daraio,"G. Bradford Jones Professor of Mechanical Engineering and Applied Physics; Investigator, Heritage Medical Research Institute",,,,,,,,
17,California Institute of Technology (Caltech),Xiaojing (Ruby) Fu,Assistant Professor of Mechanical and Civil Engineering; William H. Hurt Scholar,,,,,,,,
17,California Institute of Technology (Caltech),Julia R. Greer,"Ruben F. and Donna Mettler Professor of Materials Science, Mechanics and Medical Engineering; Fletcher Jones Foundation Director of the Kavli Nanoscience Institute",,,,,,,,
17,California Institute of Technology (Caltech),Melany L. Hunt,Dotty and Dick Hayman Professor of Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Monica Kohler,Research Professor of Mechanical and Civil Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Nadia Lapusta,"Lawrence A. Hanson, Jr., Professor of Mechanical Engineering and Geophysics",,,,,,,,
17,California Institute of Technology (Caltech),Michael Mello,Teaching Professor of Mechanical and Civil Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Austin Minnich,Professor of Mechanical Engineering and Applied Physics; EAS Division Deputy Chair,,,,,,,,
17,California Institute of Technology (Caltech),Richard M. Murray,Thomas E. and Doris Everhart Professor of Control and Dynamical Systems and Bioengineering,,,,,,,,
17,California Institute of Technology (Caltech),Gunter Niemeyer,Teaching Professor of Mechanical and Civil Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Sergio Pellegrino,Joyce and Kent Kresa Professor of Aerospace and Civil Engineering; Jet Propulsion Laboratory Senior Research Scientist; Co,"Director, Space",Based Solar Power Project,,,,,,
17,California Institute of Technology (Caltech),Guruswami (Ravi) Ravichandran,"John E. Goode, Jr., Professor of Aerospace and Mechanical Engineering",,,,,,,,
17,California Institute of Technology (Caltech),Ares J. Rosakis,Theodore von Karman Professor of Aeronautics and Mechanical Engineering,,,,,,,,
17,California Institute of Technology (Caltech),Joseph E. Shepherd,"C. L. ""Kelly"" Johnson Professor of Aeronautics and Mechanical Engineering",,,,,,,,
17,California Institute of Technology (Caltech),Sandra M. Troian,"Professor of Applied Physics, Aeronautics, and Mechanical Engineering",,,,,,,,
