Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
3,Delft University of Technology,Matthijs Langelaar,Professor  ,,,,,,,,
3,Delft University of Technology,Cornel Thill,Educator of the Year 2023-2024  ,,,,,,,,
3,Delft University of Technology,Cosimo Della Santina,Professor  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Abhari, Reza S.",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Ahmed, Daniel",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Bambach, Markus",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Bardow, André",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Carmeliet, Jan",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Coletti, Filippo",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"D'Andrea, Raffaello",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"De Lorenzis, Laura",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Frazzoli, Emilio",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Fuge, Mark",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Güntner, Andreas",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Haller, George",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Hierold, Christofer",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Hutter, Marco",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Jenny, Patrick",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Karlin, Ilya",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Katzschmann, Robert",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Kochmann, Dennis",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Kunz, Andreas",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Lukatskaya, Maria",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Manera, Annalisa",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Mazza, Edoardo",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Mazzotti, Marco",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"McKenna, Russell",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Meboldt, Mirko",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Mohr, Dirk",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Müller, Christoph",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Nelson, Bradley",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Noiray, Nicolas",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Norris, David J.",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Onder, Christopher",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Pané i Vidal, Salvador",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Pratsinis, Sotiris E.",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Quidant, Romain",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Sansavini, Giovanni",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Shea, Kristina",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Siegwart, Roland",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Steinfeld, Aldo",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Supponen, Outi",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Tibbitt, Mark",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Tilley, Elizabeth",Prof. Dr.  ,,,,,,,,
6,ETH Zurich - Swiss Federal Institute of Technology,"Zeilinger, Melanie",Prof. Dr.  ,,,,,,,,
7,National University of Singapore (NUS),A Senthil KUMAR,Professor  ,,,,,,,,
7,National University of Singapore (NUS),Cecilia LASCHI,Provost's Chair Professor  ,,,,,,,,
7,National University of Singapore (NUS),CHAU Fook Siong,Honorary Fellow Associate Professor  ,,,,,,,,
7,National University of Singapore (NUS),"CHEN Chao Yu, Peter",Deputy Head (Undergraduate Programmes) Associate Professor (Educator Track)  ,,,,,,,,
7,National University of Singapore (NUS),CHEW Chee Meng,Associate Professor  ,,,,,,,,
7,National University of Singapore (NUS),CHEW Yong Tian,Emeritus Professor  ,,,,,,,,
7,National University of Singapore (NUS),CHNG Tat Loon,Assistant Professor  ,,,,,,,,
7,National University of Singapore (NUS),CHOU Siaw Kiang,Emeritus Professor  ,,,,,,,,
7,National University of Singapore (NUS),Christina LIM Y H,Deputy Head (Outreach & Student Life) Associate Professor  ,,,,,,,,
7,National University of Singapore (NUS),Christopher YAP,Honorary Fellow Associate Professor  ,,,,,,,,
