Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
19,RWTH Aachen University,Dirk Abel,Univ.-Prof. Dr.-Ing.,,,,,,,,
19,RWTH Aachen University,Jakob Lukas Andert,Prof. Dr.-Ing.,,,,,,,,
19,RWTH Aachen University,Marek Behr,Univ.-Prof. Ph. D.,,,,,,,,
19,RWTH Aachen University,Andrea Benigni,Univ.-Prof. Dr.-Ing.,Energy Systems Engineering,,,,,,,
19,RWTH Aachen University,Thomas Bergs,Univ.-Prof. Dr.-Ing.,,,,,,,,
19,RWTH Aachen University,Kirsten Bobzin,Univ.-Prof. Dr.-Ing.,,,,,,,,
19,RWTH Aachen University,Isaac Boxx,Univ.-Prof. PhD,Optical Diagnostics in ECPE,,,,,,,
19,RWTH Aachen University,Christian Brecher,Univ.-Prof. Dr.-Ing.,Machine Tools,,,,,,,
19,RWTH Aachen University,Christoph Broeckmann,Univ.-Prof. Dr.-Ing.,Materials Applications,,,,,,,
19,RWTH Aachen University,Burkhard Corves,Univ.-Prof. Dr.-Ing. Dr. h. c.,"Mechanism Theory, Machine Dynamics",,,,,,,
19,RWTH Aachen University,Jan Deeken,Univ.-Prof. Dr.-Ing.,Space Propulsion,,,,,,,
19,RWTH Aachen University,Lutz Eckstein,Univ.-Prof. Dr.-Ing.,Automotive Engineering,,,,,,,
19,RWTH Aachen University,Frank Ole Flemisch,Univ.-Prof. Dr.-Ing.,System Ergonomics,,,,,,,
19,RWTH Aachen University,Thomas Gries,Univ.-Prof. Professor h. c. (MGU) Dr.-Ing.,Textile Technology,,,,,,,
19,RWTH Aachen University,Ronald Gebhardt,Univ.-Prof. Dr. rer. nat.,Soft Matter Process Engineering,,,,,,,
19,RWTH Aachen University,Constantin Leon Häfner,Univ.-Prof. Dr. rer. nat.,Laser Technology,,,,,,,
19,RWTH Aachen University,Karl Alexander Heufer,Univ.-Prof. Dr.-Ing.,High Pressure Gas Dynamics,,,,,,,
19,RWTH Aachen University,Bernhard Hoffschmidt,Univ.-Prof. Dr.-Ing.,Solar Research,,,,,,,
19,RWTH Aachen University,Carlo Holly,Univ.-Prof. Dr. rer. nat. Dipl.-Ing.,Optical Systems,,,,,,,
19,RWTH Aachen University,Christian Hopmann,Univ.-Prof. Dr.-Ing.,Plastics Processing,,,,,,,
19,RWTH Aachen University,Mikhail Itskov,Univ.-Prof. Dr.-Ing. (RUS),Continuum Mechanics,,,,,,,
19,RWTH Aachen University,Georg Jacobs,Univ.-Prof. Dr.-Ing.,Machine Elements,,,,,,,
19,RWTH Aachen University,Pieter Jansens,Univ.-Prof. Dr. Ir.,Chemical Process Engineering,,,,,,,
