Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
1,Massachusetts Institute of Technology (MIT),Rohan Abeyaratne,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Faez Ahmed,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Triantaphyllos R. Akylas,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Lallit Anand,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Harry Asada,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),George Barbastathis,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Klaus-J¨¹rgen Bathe,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Mark Bathe,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Kaitlyn Becker,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Irmgard Bischofberger,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Svetlana V. Boriskina,Principal Research Scientist  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Lydia Bourouiba,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Mary Cunningham Boyce,Professor Emerita  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),John G. Brisson II,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Markus Buehler,McAfee Professor of Engineering  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Cullen Buie,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Tonio Buonassisi,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Jacopo Buongiorno,TEPCO Professor of Nuclear Science  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Gang Chen,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Wai K. Cheng,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Chryssostomos Chryssostomidis,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Jung-Hoon Chun,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Tal Cohen,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Martin Culpepper,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Domitilla Del Vecchio,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Sili Deng,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),C. Forbes Dewey,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Steven Dubowsky,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Elazer Edelman,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Daniel Frey,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Betar Gallant,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Stanley B. Gershwin,Sr. Lecturer  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Ahmed F. Ghoniem,Professor  ,,,,,,,,
