Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
2,Stanford University,Adam Boies,Associate Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Wei Cai,"Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering  ",,,,,,,,
2,Stanford University,Mark A. Cappelli,Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Ovijit Chaudhuri,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering  ",,,,,,,,
2,Stanford University,Steven Hartley Collins,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering  ",,,,,,,,
2,Stanford University,Mark Cutkosky,Fletcher Jones Professor in the School of Engineering  ,,,,,,,,
2,Stanford University,Eric Darve,"Director, Institute for Computational and Mathematical Engineering (ICME) and Professor of Mechanical Engineering  ",,,,,,,,
2,Stanford University,"Scott L. Delp, Ph.D.","Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery  ",,,,,,,,
2,Stanford University,Matthew R. Edwards,Assistant Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Vivian Feig,Assistant Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Sean Follmer,"Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science  ",,,,,,,,
2,Stanford University,Kenneth Goodson,"Senior Associate Dean for Research and Faculty Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering  ",,,,,,,,
2,Stanford University,Wendy Gu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering  ",,,,,,,,
2,Stanford University,Ronald Hanson,Clarence J. and Patricia R. Woodard Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Gianluca Iaccarino,Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Matthias Ihme,"Professor of Mechanical Engineering, of Photon Science and, by courtesy, of Energy Science and Engineering  ",,,,,,,,
2,Stanford University,David Kelley,Donald W. Whittier Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Monroe Kennedy III,Assistant Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Thomas Kenny,Senior Associate Dean for Education and Student Affairs and Richard W. Weiland Professor in the School of Engineering  ,,,,,,,,
2,Stanford University,Ellen Kuhl,"Catherine Holman Johnson Director of Stanford Bio-X, Walter B Reinhold Professor in the School of Engineering, Professor of Mechanical Engineering and, by courtesy, of Bioengineering  ",,,,,,,,
2,Stanford University,Natalie Larson,Assistant Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Sanjiva Lele,Edward C. Wells Professor of the School of Engineering and Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Marc Levenston,"Associate Professor of Mechanical Engineering and, by courtesy, of Radiology (Radiological Sciences Laboratory)  ",,,,,,,,
2,Stanford University,Adrian Lew,Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Dr. Arun Majumdar,"Dean, Stanford Doerr School of Sustainability, Jay Precourt Professor, Professor of Mech Eng, of Energy Sci & Eng, of Photon Science, Senior Fellow at Woods and by courtesy, of Materials Sci & Eng and Senior Fellow, by courtesy, at Hoover  ",,,,,,,,
2,Stanford University,Ali Mani,Associate Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Michaëlle Ntala Mayalu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Bioengineering  ",,,,,,,,
2,Stanford University,Beverley J McKeon,Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Parviz Moin,Franklin P. and Caroline M. Johnson Professor in the School of Engineering  ,,,,,,,,
2,Stanford University,Allison Okamura,Richard W. Weiland Professor in the School of Engineering  ,,,,,,,,
2,Stanford University,Friedrich Prinz,"Leonardo Professor, Professor of Mechanical Engineering, of Materials Science and Engineering and Senior Fellow at the Precourt Institute for Energy  ",,,,,,,,
2,Stanford University,Juan G. Santiago,Charles Lee Powell Foundation Professor  ,,,,,,,,
2,Stanford University,Eric S.G. Shaqfeh,Lester Levi Carter Professor and Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Sindy Tang,"Associate Professor of Mechanical Engineering, Senior Fellow at the Woods Institute for the Environment and Professor, by courtesy, of Radiology and of Bioengineering  ",,,,,,,,
2,Stanford University,Hai Wang,Professor of Mechanical Engineering  ,,,,,,,,
2,Stanford University,Renee Zhao,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering  ",,,,,,,,
2,Stanford University,Xiaolin Zheng,"Professor of Mechanical Engineering, of Energy Science Engineering and, by courtesy, of Materials Science and Engineering  ",,,,,,,,
